mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
34,2,13,3,180,110,2,0,38, ,23,21,6,16,18,20,18,15,8,27,10,30,2,13,3,0,120,2,0,33,23,16,17,5,21,17,17,15,14,4,12,1
46,2,12,2,0,92,2,0,34,15,21,15,5,10,20,19,17,15,9,28,4,48,2,12,2,6.2,90,6,0,33,18,22,12,5,8,21,18,19,13,9,27,4
39,2,12,2,54,107,1,0,35,19,22,13,6,9,14,14,15,12,8,20,1,38,2,9,1,36,107,3,0,38,22,20,13,5,12,17,15,17,12,8,27,1
39,2,12,2,50.4,120,0,2,33,23,22,14,5,17,19,12,12,6,8,24,6,40,2,13,3,34.8,120,0,4,30,20,23,13,5,23,16,11,12,8,8,29,6
58,3,11,3,48.6,51,4,0,30,18,19,11,0,12,13,10,10,9,8,21,8, , , , , , , , , , , , , , , , , , , , ,0
33,2,14,2,115.2,130,3,2,38,28,14,15,8,20,19,17,16,15,9,16,6,29,2,12,3,49.992,120,2,1,41,28,20,10,5,14,16,19,19,15,7,22,7
26,2,12,3,67.2,72,2,1,25,27,24,7,5,5,19,13,14,9,6,13,1,28,2,12,3,0,72,0,0,27,22,24,10,5,13,13,16,16,12,6,15,0
30,2,14,3,54.72,75,0,0,35,29,19,10,6,7,14,18,19,15,8,15,8,31,2,17,3,0,75,1,1,27,25,24,11,5,7,13,17,15,13,7,17,8
63,2,12,3, ,77,4,0,41,29,20,12,5,25,19,17,14,11,8,20,8,65,2,12,3, ,77,12,1,38,24,24,15,5,27,20,17,16,11,7,16,8
25,2,12,2,73.44,70,0,1,31,19,16,19,5,5,21,11,13,9,5,14,3,20,2,12,3,0,70,3,4,28,26,17,18,8,8,11,15,15,14,5,14,3
 , , , , , , , , , , , , , , , , , , , ,0,41,3,16,3,48,118,1,0,40,30, , ,0,23, ,13,14,10,11,30,9
27,2,16,5,60,86,0,0,29,27,19,12,7,6,11,18,18,14,5,13,0,28,2,18,5,0,76,3,3,30,25,13,15,7,10,11,15,14,13,4,17,1
32,2,9,2,40.32,86,1,0,41,26,23,9,5,9, ,14,16,14,6,25,5,30,2,17,3,38.4,86,0,0,32,24,14,10,6,15,8,13,11,13,9,19,4
40,2,14,3,20.3,62,13,4,37,24,18,12,6,9,7,12,12,11,12,28,12,33,2,14,4,6,54,3,2,37,23,17,14,5,14,6,12,13,13,12,30,12
45,2,12,2,69.6,115,2,3,32,23, ,14,5,8,11,13,14,11,8,23,2,42,2,13,3,45.6,115,11,3,28,21,19,12,5,17,16,14,14,11,8,23,2
40,2,13,3,360,622,0,0,41,29,22,10,5,24,18,19,20,15,7,6,0,35,2,15,4,42,622,1,2,41,27,23,12,5,25,18,20,20,15,7,6,0
 , , , , , , , , , , , , , , , , , , , ,0,45,3,18,5,54,70,4,0,29,19, , ,0,18,12,14,15,11,6,25,4
 , , , , , , , , , , , , , , , , , , , ,0,21,1,12,3,30,28,1,2,22,14, , ,0,8,2,6,7,8,4,23,6
39,2,13,2,120,0,0,0,41,28, ,12,6,9,10,13,14,11,6,18,6,39,2,13,4,60,0,4,0,38,25,22,11,7,28,12,17,15,14,6,20,9
32,2,13,3,84.672,0,1,2,36,20,27,10,5,0,14,18,16,11,12,17,13,32,2,13,2,0,0,0,3,32,21,24,8,5,16,15,20,19,14,12,17,13
24,2,12,3,60,54,1,0,27,19,16,16,7,3,17,16,15,11,9,26,4,20,2,11,3,0,54,3,2,32, ,16,12,6,5,17,16,15,13,9,25,6
36,2,9,2,42,0,4,3, ,20,21,12,6,14,15,11,14,11,6,22,6,38,2,13,3,0,0,1,0,37,22,14,12,5,15,20,16,14,11,6,21,6
27,2,13,2,36.288,80,1,1,37,28,23,22,5,17,20,11,12,9,6,24,3,23,2,12,3,39.6,80,2,0,36,25,21,17,5,23,20,13,11,9,6,24,3
49,2,15,5,72,155,5,0,36,25,23,21,8,28,10,15,16,12,5,24,4,47,2,13,3,72,155,2,1,29,21,15,21,5,16,13,18,18,13,5,24,3
36,2,12,2,84,100,0,2,35,25,19,17,20,11,17,13,14,10,7,23,7,32,2,13,3,48,110,2,0,32,21,18,12,20,10,19,15,13,11,8,21,9
